Date,Product,Category,Quantity,Price,Sales
2026-01-05,Laptop,Electronics,2,55000,110000
2026-01-10,Mouse,Electronics,10,800,8000
2026-01-15,Keyboard,Electronics,5,1500,7500
2026-02-03,Laptop,Electronics,1,55000,55000
2026-02-12,Chair,Furniture,4,4500,18000
2026-02-20,Desk,Furniture,2,7000,14000
2026-03-05,Mouse,Electronics,15,800,12000
2026-03-11,Keyboard,Electronics,8,1500,12000
2026-03-18,Chair,Furniture,3,4500,13500
2026-04-02,Laptop,Electronics,3,55000,165000
2026-04-14,Desk,Furniture,5,7000,35000
2026-04-22,Mouse,Electronics,20,800,16000
2026-05-06,Keyboard,Electronics,10,1500,15000
2026-05-15,Chair,Furniture,6,4500,27000
